Country_Id,Country,Capital_City,Second_City
126,Niger,Niamey,NULL
127,Nigeria,Abuja,NULL
128,North Korea,Pyongyang,NULL
129,Norway,Oslo,NULL
130,Oman,Muscat,NULL
131,Pakistan,Islamabad,NULL
132,Palau,Ngerulmud,NULL
133,Palestine,Ramallah,NULL
134,Panama,Panama City,NULL
135,Papua New Guinea,Port Moresby,NULL
136,Paraguay,Asunción,NULL
137,Peru,Lima,NULL
138,Philippines,Manila,NULL
139,Poland,Warsaw,NULL
140,Portugal,Lisbon,NULL
141,Qatar,Doha,NULL
142,Romania,Bucharest,NULL
143,Russia,Moscow,NULL
144,Rwanda,Kigali,NULL
145,Saint Kitts and Nevis,Basseterre,NULL
146,Saint Lucia,Castries,NULL
147,Saint Vincent and the Grenadines,Kingstown,NULL
148,Samoa,Apia,NULL
149,San Marino,San Marino,NULL
150,Sao Tome and Principe,São Tomé,NULL
151,Saudi Arabia,Riyadh,NULL
152,Senegal,Dakar,NULL
153,Serbia,Belgrade,NULL
154,Seychelles,Victoria,NULL
155,Sierra Leone,Freetown,NULL
156,Singapore,Singapore,NULL
157,Slovakia,Bratislava,NULL
158,Slovenia,Ljubljana,NULL
159,Solomon Islands,Honiara,NULL
160,Somalia,Mogadishu,NULL
162,South Korea,Seoul,NULL
163,South Sudan,Juba,NULL
164,Spain,Madrid,NULL
165,Sri Lanka,Sri Jayawardenepura Kotte,NULL
166,Sudan,Khartoum,NULL
167,Suriname,Paramaribo,NULL
168,Swaziland,Mbabane,NULL
169,Sweden,Stockholm,NULL
170,Switzerland,Bern,NULL
171,Syria,Damascus,NULL
172,Taiwan,Taipei,NULL
173,Tajikistan,Dushanbe,NULL
174,Tanzania,Dodoma,NULL
175,Thailand,Bangkok,NULL
176,Timor-Leste,Dili,NULL
177,Togo,Lomé,NULL
178,Tonga,Nuku?alofa,NULL
179,Trinidad and Tobago,Port of Spain,NULL
180,Tunisia,Tunis,NULL
181,Turkey,Ankara,NULL
182,Turkmenistan,Ashgabat,NULL
183,Tuvalu,Funafuti,NULL
184,Uganda,Kampala,NULL
185,Ukraine,Kyiv,NULL
186,United Arab Emirates,Abu Dhabi,NULL
187,United Kingdom,London,NULL
188,United States of America,"Washington, D.C.",NULL
189,Uruguay,Montevideo,NULL
190,Uzbekistan,Tashkent,NULL
191,Vanuatu,Port Vila,NULL
192,Vatican City (Holy See),Vatican City,NULL
193,Venezuela,Caracas,NULL
194,Vietnam,Hanoi,NULL
195,Yemen,Sana'a,NULL
196,Zambia,Lusaka,NULL
197,Zimbabwe,Harare,NULL
